id,source_date_accessed,source_id,author,year,gender,genre,title,format,catalogue_numbers
1007,20100817,1812A058,Louisa Sidney STANHOPE,1812,Female,,"THE CONFESSIONAL OF VALOMBRE. A ROMANCE. IN FOUR VOLUMES. BY LOUISA SIDNEY STANHOPE, AUTHOR OF MONTEBRASIL ABBEY; THE BANDIT'S BRIDE; STRIKING LIKENESSES, &C. &C",4 vols (I 273p; II 269p; III 274p; IV 268p). 12&deg;,Corvey; CME 3-628-48772-2; ECB 558; EN2 1812: 57; NSTC S3495; OCLC 7097044
1008,20100817,1812A059,"Elizabeth STRUTT [formerly BYRON, Elizabeth]",1812,Female,,"THE BORDERERS. AN HISTORICAL ROMANCE, ILLUSTRATIVE OF THE MANNERS OF THE FOURTEENTH CENTURY. IN THREE VOLUMES","3 vols (I vi, 234p; II 234p; III 251p). 12&deg;",Corvey; CME 3-628-47268-7; ECB 66; EN2 1812: 58; NSTC S4207; xOCLC
1009,20100817,1812A060,Augusta Amelia STUART,1812,Female,,"CAVA OF TOLEDO; OR, THE GOTHIC PRINCESS. A ROMANCE. IN FIVE VOLUMES. BY AUGUSTA AMELIA STUART, AUTHOR OF LUDOVICO'S TALE; THE ENGLISH BROTHERS; EXILE OF PORTUGAL, &C. &C","5 vols (I ii, 259p; II 240p; III 252p; IV 224p; V 286p). 12&deg;",Corvey; CME 3-628-48683-1; ECB 567; EN2 1812: 59; xNSTC; xOCLC
1010,20100817,1812A061,Henrietta SYKES,1812,Female,,"SIR WILLIAM DORIEN. A DOMESTIC STORY. IN THREE VOLUMES. BY THE AUTHOR OF MARGIANA; OR, WIDDRINGTON TOWER",3 vols (I 269p; II 252p; III 262p). 12&deg;,Corvey; CME 3-628-48747-1; ECB 539; EN2 1812: 60; NSTC S4579; OCLC 7099088
1011,20100817,1812A062,Elizabeth THOMAS,1812,Female,,"THE VINDICTIVE SPIRIT. A NOVEL. IN FOUR VOLUMES. BY MRS. BRIDGET BLUEMANTLE, AUTHOR OF HUSBAND AND WIFE; MONTE VIDEO; MORTIMER HALL; THREE OLD MAIDS, &C. &C",4 vols (I 233p; II 227p; III 200p; IV 215p). 12&deg;,Corvey; CME 3-628-47156-7; ECB 63; EN2 1812: 61; xNSTC; xOCLC
1012,20100817,1812A063,Harriet VENTUM,1812,Female,,THE DANGERS OF INFIDELITY: A NOVEL,3 vols. 12&deg;,No copy located; ECB 612; EN2 1812: 62; xNSTC; xOCLC
1013,20100817,1812A064,Miss WATSON,1812,Female,,"ROSAMUND, COUNTESS OF CLARENSTEIN. IN THREE VOLUMES","3 vols (I viii, 324p; II 344p; III 288p). 12&deg;",MH-H *EC8.W3310.812r; EN2 1812: 63; xNSTC; OCLC 7121862
1014,20100817,1812A065,Jane WEST,1812,Female,,"THE LOYALISTS: AN HISTORICAL NOVEL. BY THE AUTHOR OF ""LETTERS TO A YOUNG MAN,"" ""A TALE OF THE TIMES,"" &C. IN THREE VOLUMES",3 vols (I 364p; II 307p; III 352p). 12&deg;,BRu ENC; ECB 631; EN2 1812: 64; NSTC W1348; OCLC 7127773
1016,20100817,1812A067,Ann WILSON,1812,Female,,"SCOTCH LAWSUITS; OR, A TALE OF THE EIGHTEENTH AND NINETEENTH CENTURIES. BY THE AUTHOR OF THE ""TWO BROTHERS"", &C. &C",1 vol.  (210p). 12&deg;,E Vts.115.b.3; ECB 641; EN2 1812: 66; NSTC S739; OCLC 15732475
1023,20100817,1813A007,Jane AUSTEN,1813,Female,,"PRIDE AND PREJUDICE: A NOVEL. IN THREE VOLUMES. BY THE AUTHOR OF ""SENSE AND SENSIBILITY.""",3 vols (I 307p; II 239p; III 323p). 12&deg;,BRu ENC; ECB 33; EN2 1813: 7; NSTC A2017; OCLC 38659585
