id,source,source_id,author,year,gender,genre,title,format,catalogue_numbers
1443,20100817,1819A071,Sarah Scudgell WILKINSON,1819,Female,?|potgoth,"NEW TALES BY MRS. WILKINSON, IN THREE VOLUMES",3 vols (I 300p; II 286p; III 231p). 12&deg;,Corvey; CME 3-628-48925-3; ECB 637; EN2 1819: 71; xNSTC; OCLC 48886721
1489,20100817,1820A044,Elizabeth B. LESTER,1820,Female,?|potgoth,"TALES OF THE IMAGINATION. BY THE AUTHOR OF THE BACHELOR AND THE MARRIED MAN, THE PHYSIOGNOMIST, AND HESITATION. IN THREE VOLUMES",3 vols (I 227p; II 261p; III 252p). 12&deg;,Corvey; CME 3-628-48863-X; ECB 576; EN2 1820: 45; NSTC 2R17994; OCLC 22342173
1576,20100817,1821A061,Anna Maria PORTER,1821,Female,?|potgoth,"THE VILLAGE OF MARIENDORPT. A TALE. BY MISS ANNA MARIA PORTER, AUTHOR OF THE FAST OF ST. MAGDALEN, KNIGHT OF ST. JOHN, &C. &C. &C. IN FOUR VOLUMES","4 vols (I vi, 303p; II 336p; III 313p; IV 455p). 12&deg;",Corvey; CME 3-628-48305-0; ECB 464; EN2 1821: 62; NSTC 2P22260; OCLC 6972448
1641,20100817,1822A051,Mary Ann KELTY,1822,Female,?|potgoth,"OSMOND, A TALE. BY THE AUTHOR OF ""THE FAVOURITE OF NATURE:"" IN THREE VOLUMES","3 vols (I iv, 312p; II 327p; III 396p). 12&deg;",BL N.118; ECB 318; EN2 1822: 51; NSTC 2K2406; OCLC 12862142
1710,20100817,1823A038,Jane HARVEY,1823,Female,?|potgoth,"MOUNTALYTH, A TALE. IN THREE VOLUMES. BY JANE HARVEY, AUTHOR OF ""SINGULARITY,"" &C",3 vols (I 234p; II 243p; III 240p). 12&deg;,Corvey; CME 3-628-47633-X; ECB 257; EN2 1823: 41; NSTC 2H11039; xOCLC
1838,20100817,1824A079,Sophia REEVE,1824,Female,?|potgoth,"STANMORE; OR, THE MONK, AND THE MERCHANT'S WIDOW. BY SOPHIA REEVE. IN THREE VOLUMES",3 vols (I 278p; II 258p; III 271p). 12&deg;,Corvey; CME 3-628-48522-3; ECB 483; EN2 1824: 78; NSTC 2R5346; xOCLC
1883,20100817,1825A025,Mary Diana DODS,1825,Female,?|potgoth,TALES OF THE WILD AND THE WONDERFUL,"1 vol.  (x, 356p). 8&deg;",Corvey; CME 3-628-51167-4; ECB 576; EN2 1825: 15; NSTC 2B41787; OCLC 6167231
2012,20100817,1826A063,Anna Maria PORTER,1826,Female,?|potgoth,"HONOR O'HARA. A NOVEL, IN THREE VOLUMES. BY MISS A. M. PORTER, AUTHOR OF ""THE HUNGARIAN BROTHERS,"" ""THE RECLUSE OF NORWAY,"" &C. &C. &C","3 vols (I vii, 400p; II 453p; III 536p). 12&deg;",Corvey; CME 3-628-48299-2; ECB 463; EN2 1826: 63; NSTC 2P22249; OCLC 6989179
2013,20100817,1826A064,Anna Maria PORTER,1826,Female,?|potgoth,TALES ROUND A WINTER HEARTH. BY JANE AND ANNA MARIA PORTER. IN TWO VOLUMES,"2 vols (I vi, 343p; II 458p). 12&deg;",Corvey; CME 3-628-54704-0; ECB 464; EN2 1826: 64; NSTC 2P22429; OCLC 3832883
2136,20100817,1828A030,Marion CORBETT,1828,Female,?|potgoth,"TALES AND LEGENDS. BY THE AUTHORS OF ""THE ODD VOLUME,"" &C. IN THREE VOLUMES",3 vols (I 352p; II 358p; III 404p). 8&deg;,Corvey; CME 3-628-51146-1; ECB 575; EN2 1828: 31; NSTC 2C37699; OCLC 38701708
